Field of study,1970-71,1975-76,1980-81,1985-86,1990-91,1995-96,2000-01,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
Total,235564,317477,302637,295850,342863,412180,473502,580151,599731,610597,630666,662082,693313,730922,755967,751718,754582,758708
Agriculture and natural resources,2457,3340,4003,3801,3295,4551,4272,4746,4640,4623,4684,4878,5215,5766,6390,6336,6544,6426
Architecture and related services,1705,3215,3153,3260,3490,3993,4302,5674,5743,5951,6065,6587,7280,7788,8448,8095,8048,8006
"Area, ethnic, cultural, gender, and group studies",1032,993,802,915,1233,1652,1555,1755,2080,1699,1778,1779,1775,1913,1947,1897,1844,1847
Biological and biomedical sciences,5625,6457,5766,5064,4834,6593,7017,8284,8781,8898,9689,10018,10730,11324,12419,13300,13964,14650
Business,26490,42592,57888,66676,78255,93554,115602,142617,146406,150211,155637,168404,177748,187178,191606,188617,189364,185222
"Communication, journalism, and related programs",1770,2961,2896,3500,4123,5080,5218,6762,7244,6773,6915,7042,7630,8302,9005,8760,9353,9581
Communications technologies,86,165,209,308,204,481,427,433,501,499,631,475,463,502,497,577,577,554
Computer and information sciences,1588,2603,4218,8070,9324,10579,16911,18416,17055,16232,17087,17907,17955,19516,20925,22782,24514,31474
Education,87666,126061,96713,74816,87352,104936,127829,167490,174620,176572,175880,178538,182165,185127,179047,164652,154655,146561
Engineering,16813,16472,16893,21529,24454,26789,25174,32488,30848,29299,31557,34546,35133,38664,40323,40420,42376,46115
Engineering technologies,134,328,323,617,996,2054,2013,2500,2541,2690,2873,3462,4258,4515,4793,4908,4967,5324
English language and literature/letters,10441,8599,5742,5335,6784,7657,6763,8468,8845,8742,9161,9262,9202,9475,9938,9755,9294,8928
Family and consumer sciences/human sciences,1452,2179,2570,2011,1541,1712,1838,1827,1983,2080,2199,2453,2592,2918,3155,3255,3082,3148
"Foreign languages, literatures, and linguistics",5480,4432,2934,2690,3049,3443,3035,3407,3539,3443,3565,3592,3756,3727,3827,3708,3482,3566
Health professions and related programs,5330,12164,16176,18603,21354,33920,43623,46703,51380,54531,58120,62642,69112,75571,84355,90933,97416,102897
"Homeland security, law enforcement, and firefighting",194,1197,1538,1074,1108,1812,2514,3991,4277,4906,5760,6125,6717,7433,8420,8868,9310,9643
Legal professions and studies,955,1442,1832,1924,2057,2751,3829,4170,4453,4486,4815,5150,5767,6475,6614,7013,7654,7924
"Liberal arts and sciences, general studies, and humanities",885,2633,2375,1586,2213,2778,3193,3680,3702,3634,3797,3729,3822,3997,3792,3264,3002,2794
Library science,7001,8037,4859,3564,4763,5099,4727,6213,6448,6767,7162,7091,7448,7729,7443,6983,5840,5259
Mathematics and statistics,5191,3857,2567,3131,3549,3651,3209,4477,4730,4884,4980,5211,5639,5866,6246,6957,7273,7589
Military technologies and applied sciences,2,0,43,83,0,136,0,0,0,202,0,3,0,0,29,32,29,71
Multi/interdisciplinary studies,924,1283,2356,2869,2079,2713,3413,4167,4391,4611,5165,5225,5947,6762,7746,7953,8120,8098
"Parks, recreation, leisure, and fitness studies",218,571,643,570,483,1684,2354,3740,3992,4110,4440,4825,5617,6546,7047,7139,7609,7639
Philosophy and religious studies,1326,1358,1231,1193,1471,1363,1386,1647,1739,1716,1879,1859,2045,1839,2003,1934,2095,1912
Physical sciences and science technologies,6336,5428,5246,5860,5281,5910,5134,5823,6063,6012,6061,5862,6066,6386,6911,7014,6984,7100
Precision production,0,0,0,0,0,8,2,6,9,5,3,10,10,5,11,9,15,4
Psychology,5717,10167,10223,9845,11349,15152,16539,18830,19770,21037,21431,23415,23763,25062,27052,27787,27926,26773
Public administration and social services,7785,15209,17803,15692,17905,24229,25268,29552,30510,31131,33029,33934,35740,38614,41737,43591,44508,46083
Social sciences and history,16539,15953,11945,10564,12233,15012,13791,16952,17369,17665,18495,19241,20234,21085,21891,21591,21497,20533
Theology and religious vocations,7747,8964,11061,11826,10498,10909,9876,11348,11758,12436,12578,12851,12848,13170,13341,14275,14128,14271
Transportation and materials moving,0,0,0,454,406,919,756,802,784,985,982,1048,1074,1390,1702,1444,1243,960
Visual and performing arts,6675,8817,8629,8420,8657,10280,11404,13183,13530,13767,14164,14918,15562,16277,17307,17869,17869,17756
Not classified by field of study,0,0,0,0,8523,780,528,0,0,0,84,0,0,0,0,0,0,0















